ID,Segmentation
458989,A
458994,C
458996,C
459000,C
459001,D
459003,B
459005,C
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,C
459036,A
459039,C
459041,C
459045,C
459056,C
459057,C
459058,D
459059,C
459061,C
459064,C
459065,A
459074,D
459077,C
459079,C
459080,A
459083,C
459090,D
459091,C
459093,C
459100,A
459106,C
459114,C
459116,C
459117,C
459118,D
459119,C
459120,D
459121,C
459123,C
459130,C
459132,A
459136,C
459140,D
459143,C
459144,C
459145,B
459150,A
459160,C
459161,C
459162,C
459163,A
459167,D
459170,C
459171,C
459172,D
459175,C
459181,C
459182,C
459184,A
459185,A
459193,C
459194,C
459196,D
459208,C
459209,A
459210,C
459212,C
459213,D
459216,C
459220,C
459221,A
459222,C
459223,C
459224,C
459227,A
459229,C
459236,C
459237,C
459244,C
459247,C
459258,C
459263,D
459264,C
459266,D
459270,A
459284,C
459287,A
459288,C
459289,A
459290,C
459292,C
459293,D
459296,C
459300,C
459307,A
459310,B
459316,D
459318,A
459320,C
459322,D
459323,D
459338,C
459339,C
459344,C
459347,C
459349,C
459352,A
459353,C
459354,C
459355,A
459360,D
459361,A
459362,C
459363,C
459364,D
459369,A
459375,C
459377,C
459383,A
459384,C
459385,C
459386,C
459391,A
459394,A
459397,C
459398,C
459401,D
459403,C
459405,C
459407,A
459409,C
459410,C
459412,C
459413,C
459415,D
459418,C
459419,C
459420,C
459421,D
459422,A
459423,D
459424,C
459428,D
459432,C
459436,C
459439,C
459445,C
459447,C
459449,C
459451,C
459456,A
459458,D
459459,C
459461,C
459464,C
459466,B
459467,C
459469,D
459471,D
459480,A
459481,A
459482,D
459485,C
459496,C
459497,C
459499,C
459503,C
459505,A
459507,B
459509,D
459512,C
459515,A
459516,C
459518,C
459535,C
459536,D
459538,A
459541,C
459549,D
459555,D
459558,A
459564,C
459566,C
459567,C
459571,C
459576,A
459579,B
459581,D
459582,A
459583,C
459585,C
459587,C
459588,C
459591,C
459592,D
459594,C
459597,C
459603,C
459607,C
459608,A
459612,D
459616,D
459617,A
459618,A
459621,D
459625,A
459626,A
459632,D
459644,D
459652,D
459658,C
459664,C
459665,C
459672,C
459673,C
459678,D
459680,A
459686,C
459691,C
459692,C
459693,C
459699,B
459701,D
459710,C
459711,C
459712,D
459713,D
459715,D
459718,C
459725,C
459727,C
459740,D
459742,C
459745,C
459746,C
459747,C
459748,C
459755,C
459756,B
459760,C
459763,D
459767,D
459771,A
459779,A
459780,A
459785,A
459793,C
459795,C
459801,A
459804,C
459806,B
459808,C
459815,C
459816,C
459819,C
459821,C
459822,A
459825,D
459827,D
459832,C
459845,D
459851,C
459853,B
459856,A
459857,A
459861,C
459864,C
459866,C
459867,D
459869,D
459871,A
459885,A
459886,C
459887,C
459889,A
459897,C
459909,C
459910,C
459911,D
459914,A
459923,D
459925,B
459937,C
459943,A
459945,C
459946,C
459949,C
459953,C
459961,B
459962,C
459966,A
459968,D
459970,C
459973,C
459974,A
459975,C
459981,C
459986,C
459995,D
459996,A
459998,A
460004,B
460006,D
460014,A
460023,A
460027,A
460033,A
460036,C
460040,D
460045,C
460046,C
460050,A
460051,C
460052,A
460058,A
460059,A
460061,D
460066,D
460068,A
460073,A
460075,C
460079,A
460081,C
460088,A
460090,C
460093,A
460095,C
460097,A
460099,A
460101,D
460103,D
460105,A
460106,A
460107,B
460108,C
460109,C
460110,C
460112,A
460116,C
460118,C
460119,D
460122,D
460124,C
460126,D
460134,C
460135,D
460140,C
460141,A
460144,A
460146,A
460147,C
460157,A
460160,A
460162,D
460166,D
460167,D
460168,C
460171,C
460174,C
460175,D
460177,C
460179,D
460183,A
460185,D
460187,A
460189,A
460190,A
460192,C
460196,D
460206,A
460211,C
460212,A
460214,B
460222,C
460223,A
460227,D
460242,D
460243,A
460247,D
460248,D
460252,C
460263,C
460265,C
460270,A
460272,A
460275,C
460276,C
460281,D
460283,A
460284,A
460287,C
460289,B
460298,A
460303,C
460305,B
460306,D
460310,D
460315,D
460319,A
460322,A
460323,A
460324,A
460327,A
460333,A
460336,D
460340,C
460341,D
460344,C
460346,C
460348,C
460349,C
460354,A
460356,D
460358,D
460361,A
460362,D
460365,A
460369,C
460370,C
460371,C
460378,A
460379,C
460380,A
460381,D
460384,D
460387,A
460388,C
460389,C
460390,C
460392,A
460394,D
460397,A
460399,D
460401,D
460404,C
460405,A
460406,D
460408,C
460409,C
460415,A
460422,C
460431,A
460434,C
460437,D
460440,D
460443,A
460447,A
460449,D
460450,B
460453,A
460454,C
460457,A
460459,D
460460,A
460467,C
460470,D
460476,A
460477,D
460484,D
460485,D
460489,D
460492,D
460495,D
460504,B
460505,A
460507,D
460508,C
460518,A
460522,A
460541,A
460542,A
460545,B
460546,A
460547,A
460549,A
460550,C
460551,A
460555,A
460556,A
460558,A
460561,A
460563,D
460566,A
460571,D
460572,A
460574,D
460582,A
460583,D
460585,A
460586,D
460588,D
460597,D
460598,A
460605,A
460606,D
460612,A
460615,D
460618,A
460619,A
460621,A
460622,B
460626,C
460627,D
460633,C
460634,A
460637,D
460638,D
460639,C
460640,A
460645,D
460646,A
460653,D
460656,C
460658,D
460659,D
460660,A
460661,D
460668,A
460678,D
460686,D
460687,A
460691,D
460702,C
460703,A
460706,D
460708,C
460716,C
460719,A
460720,C
460722,A
460726,C
460727,B
460729,A
460733,D
460734,B
460738,A
460740,C
460743,C
460746,D
460763,C
460769,C
460780,D
460783,C
460785,D
460789,C
460794,A
460796,A
460802,C
460811,B
460813,C
460815,C
460822,C
460825,D
460828,A
460830,B
460831,D
460837,D
460838,C
460840,C
460844,D
460846,D
460847,C
460851,C
460855,C
460857,A
460859,A
460860,C
460861,D
460866,D
460870,D
460871,D
460872,A
460877,C
460878,A
460882,D
460888,A
460891,B
460897,D
460898,C
460899,A
460901,D
460902,C
460905,D
460906,C
460907,C
460923,C
460924,D
460928,C
460934,D
460935,C
460945,D
460953,A
460961,D
460962,C
460963,C
460968,A
460975,C
460976,D
460977,B
460979,A
460981,D
460984,C
460988,A
460989,D
460991,D
460993,C
460999,A
461000,D
461001,A
461015,A
461016,D
461022,B
461023,B
461024,C
461028,D
461029,A
461034,D
461037,C
461038,B
461041,B
461042,D
461043,D
461044,D
461049,A
461050,C
461053,B
461059,C
461060,C
461065,B
461071,A
461078,D
461082,D
461085,A
461093,C
461099,D
461111,A
461114,C
461116,B
461118,D
461119,D
461121,D
461124,D
461127,D
461128,D
461129,C
461131,C
461145,A
461152,D
461154,D
461158,A
461162,D
461163,A
461168,A
461169,A
461174,D
461177,C
461178,A
461179,A
461181,D
461183,B
461187,D
461197,D
461198,A
461201,C
461205,D
461211,A
461214,D
461215,A
461218,C
461220,B
461221,D
461225,D
461226,C
461230,B
461232,B
461233,A
461236,D
461237,D
461241,D
461242,D
461243,D
461248,D
461251,D
461252,A
461256,D
461257,A
461258,B
461262,D
461263,A
461265,D
461269,D
461274,C
461276,D
461277,C
461281,D
461286,D
461289,D
461292,B
461297,C
461299,C
461303,D
461308,D
461309,D
461313,C
461314,C
461319,C
461320,C
461322,C
461323,C
461324,C
461326,C
461335,C
461340,C
461346,C
461348,D
461350,D
461352,D
461356,A
461357,D
461363,C
461366,D
461370,D
461377,C
461378,C
461379,D
461383,C
461388,D
461397,D
461402,A
461408,D
461421,C
461423,D
461426,C
461428,C
461432,C
461437,C
461439,C
461441,C
461442,C
461454,C
461456,D
461457,A
461458,C
461462,D
461465,C
461466,D
461468,C
461469,C
461476,C
461479,C
461480,C
461482,A
461494,A
461501,B
461503,D
461510,C
461514,D
461516,C
461518,C
461521,C
461522,C
461525,A
461526,A
461530,A
461534,C
461540,D
461546,A
461548,A
461553,D
461556,B
461558,B
461564,C
461570,C
461574,C
461587,D
461593,C
461602,C
461604,A
461612,D
461615,A
461617,C
461619,C
461624,C
461626,C
461630,C
461637,C
461644,D
461653,C
461655,A
461658,D
461659,C
461661,C
461663,D
461668,C
461671,D
461674,C
461676,A
461679,D
461681,D
461683,C
461685,D
461686,C
461690,A
461694,D
461695,C
461698,C
461701,D
461705,D
461708,C
461709,D
461711,D
461716,C
461720,A
461722,D
461724,A
461725,A
461727,C
461737,A
461738,C
461744,C
461747,C
461749,D
461752,C
461756,A
461760,C
461769,C
461771,C
461775,C
461778,C
461780,C
461782,C
461784,C
461788,C
461791,A
461792,D
461800,D
461801,D
461802,C
461804,C
461807,D
461815,A
461816,D
461821,D
461822,C
461824,D
461832,D
461837,C
461845,C
461846,B
461848,D
461858,D
461859,C
461860,C
461862,A
461864,D
461872,C
461873,D
461874,A
461882,D
461892,D
461896,C
461898,C
461899,D
461901,D
461910,C
461913,B
461914,C
461921,C
461927,D
461928,C
461929,A
461930,A
461931,D
461936,C
461937,A
461941,C
461943,D
461962,C
461963,A
461965,D
461967,D
461968,A
461978,D
461985,D
461988,B
461989,B
461993,D
461994,A
461996,D
461999,D
462007,C
462011,D
462013,C
462015,C
462016,C
462017,D
462027,A
462029,A
462033,A
462038,D
462043,D
462044,C
462048,D
462051,D
462052,C
462053,C
462058,A
462060,C
462064,C
462068,C
462075,C
462078,B
462080,A
462081,D
462083,D
462084,C
462085,D
462088,C
462090,C
462091,D
462094,D
462096,D
462102,A
462103,B
462108,A
462109,A
462111,C
462114,D
462116,C
462118,C
462120,A
462128,C
462131,D
462134,A
462141,C
462149,C
462151,A
462163,C
462168,C
462171,B
462172,C
462174,A
462177,D
462179,D
462180,B
462186,D
462187,C
462188,A
462196,D
462197,A
462198,A
462200,A
462202,A
462203,B
462204,D
462205,D
462209,A
462210,A
462211,D
462214,A
462216,A
462218,B
462220,D
462222,D
462229,D
462231,D
462232,B
462234,B
462238,A
462240,C
462243,C
462246,C
462249,A
462256,A
462257,C
462260,C
462262,D
462274,C
462275,C
462278,D
462279,D
462280,D
462281,C
462284,C
462285,C
462286,C
462290,A
462291,D
462297,C
462300,C
462304,A
462306,C
462309,D
462310,C
462323,C
462336,C
462339,C
462340,B
462342,C
462345,A
462346,A
462349,C
462355,A
462356,A
462358,C
462365,C
462368,C
462370,C
462381,C
462382,C
462384,D
462386,D
462389,A
462395,C
462396,C
462397,C
462400,C
462401,B
462409,A
462411,C
462415,D
462420,D
462421,C
462423,C
462424,C
462428,C
462429,A
462445,D
462446,D
462447,D
462450,D
462451,D
462452,D
462454,D
462456,D
462457,D
462463,C
462472,C
462473,A
462485,A
462488,D
462491,C
462492,B
462496,C
462498,C
462503,C
462508,D
462512,A
462517,A
462518,D
462519,D
462521,D
462522,B
462524,C
462525,C
462526,C
462529,A
462531,A
462533,A
462538,C
462541,B
462542,C
462543,A
462545,A
462554,D
462561,C
462563,C
462566,A
462577,D
462578,A
462580,A
462584,A
462587,B
462589,D
462595,D
462596,D
462600,A
462607,A
462609,A
462611,B
462612,A
462613,A
462615,D
462617,D
462619,B
462625,D
462626,A
462632,A
462637,D
462643,A
462654,B
462658,A
462668,C
462669,C
462678,C
462680,C
462683,A
462685,D
462687,D
462692,C
462696,C
462697,C
462702,A
462704,C
462705,C
462716,A
462720,D
462722,D
462723,C
462727,C
462729,D
462731,C
462732,C
462735,C
462736,A
462738,D
462739,C
462743,D
462746,A
462747,D
462752,D
462755,D
462756,A
462761,D
462762,C
462767,D
462768,C
462776,B
462785,B
462788,A
462792,A
462799,D
462804,B
462807,D
462810,C
462814,D
462817,C
462819,C
462823,B
462824,A
462826,D
462827,D
462834,A
462838,D
462841,D
462845,C
462849,C
462850,D
462853,D
462854,D
462858,A
462861,D
462866,C
462868,A
462869,A
462871,A
462872,A
462874,C
462887,A
462890,D
462891,D
462894,C
462900,C
462903,C
462905,D
462914,C
462920,C
462923,A
462925,A
462927,D
462936,A
462941,A
462944,C
462951,C
462956,C
462958,D
462963,C
462966,C
462968,C
462971,A
462976,B
462981,D
462982,C
462983,C
462984,C
462986,D
462992,B
462993,C
462994,C
462998,A
463003,C
463012,A
463020,C
463023,A
463024,C
463028,D
463030,C
463034,D
463037,C
463039,C
463040,C
463044,C
463047,A
463051,A
463052,D
463058,D
463062,C
463069,D
463075,C
463080,D
463083,D
463085,C
463086,D
463088,C
463089,C
463090,A
463091,A
463094,A
463096,D
463099,C
463100,D
463102,A
463104,A
463106,C
463108,C
463118,C
463120,A
463129,A
463133,C
463138,D
463144,C
463145,D
463146,A
463148,D
463149,C
463150,D
463151,A
463154,C
463156,C
463157,A
463158,C
463163,B
463164,C
463165,C
463166,A
463170,D
463171,B
463173,A
463174,A
463175,A
463181,D
463187,C
463192,A
463195,D
463196,A
463199,A
463201,D
463203,D
463204,A
463209,C
463218,A
463219,A
463220,B
463221,D
463224,C
463240,B
463242,A
463244,A
463245,A
463248,D
463251,D
463256,D
463258,C
463260,C
463265,C
463266,C
463267,D
463269,A
463270,C
463273,A
463276,B
463277,A
463278,A
463280,C
463292,C
463302,B
463308,A
463316,C
463323,D
463324,D
463330,D
463332,A
463334,D
463335,D
463338,A
463340,D
463341,A
463348,C
463351,D
463356,D
463360,C
463367,B
463368,C
463372,D
463375,A
463376,C
463378,D
463379,D
463386,A
463387,D
463391,A
463395,D
463404,A
463406,D
463409,B
463411,C
463420,C
463423,C
463427,A
463428,C
463431,B
463437,C
463438,A
463443,C
463444,C
463447,B
463452,C
463460,C
463461,D
463462,B
463470,D
463472,D
463473,D
463475,C
463477,D
463483,C
463491,C
463493,C
463499,C
463500,C
463503,A
463508,C
463509,D
463512,A
463516,C
463527,D
463528,C
463529,D
463533,C
463537,D
463545,A
463548,D
463550,B
463553,C
463554,D
463557,D
463560,D
463561,A
463566,B
463572,C
463577,C
463586,D
463588,D
463598,A
463601,D
463603,D
463605,D
463606,D
463614,D
463615,C
463616,A
463619,C
463620,D
463623,D
463624,C
463628,D
463632,C
463638,A
463639,D
463640,D
463644,D
463652,C
463654,A
463655,C
463661,C
463663,C
463664,A
463665,C
463669,D
463670,D
463689,C
463699,D
463703,C
463704,C
463707,D
463713,A
463714,A
463716,D
463718,C
463722,C
463724,D
463726,D
463727,D
463728,C
463732,D
463734,C
463741,C
463745,C
463747,C
463748,D
463753,D
463756,C
463761,C
463764,C
463766,C
463767,C
463768,A
463774,C
463776,C
463782,D
463783,D
463784,A
463785,D
463786,C
463790,B
463792,A
463794,D
463799,D
463800,A
463804,C
463807,D
463811,B
463814,D
463816,C
463818,C
463819,C
463821,A
463825,C
463827,B
463828,A
463830,A
463834,B
463835,D
463842,B
463847,C
463856,B
463857,C
463859,C
463865,C
463877,A
463880,B
463884,D
463891,C
463892,C
463904,C
463917,D
463923,A
463924,D
463926,D
463931,C
463932,C
463941,D
463943,A
463946,D
463948,C
463951,A
463955,C
463958,D
463961,D
463963,B
463966,D
463978,C
463980,D
463981,C
463983,A
463986,C
463997,A
464000,D
464004,D
464007,C
464009,C
464010,D
464013,D
464016,B
464019,D
464021,D
464023,D
464030,A
464031,D
464032,D
464033,D
464039,C
464042,C
464046,D
464048,A
464049,D
464053,A
464054,C
464059,C
464063,A
464066,D
464067,B
464068,C
464071,C
464072,C
464076,C
464084,D
464087,A
464089,C
464096,D
464099,B
464103,C
464110,C
464112,A
464115,A
464118,A
464121,A
464123,C
464127,D
464132,A
464137,C
464139,D
464144,C
464152,C
464162,C
464167,C
464169,C
464172,C
464173,C
464175,D
464176,C
464179,C
464180,C
464182,C
464183,D
464185,C
464195,C
464200,D
464202,C
464204,B
464205,B
464206,A
464211,C
464212,D
464216,C
464217,D
464223,C
464226,C
464231,C
464232,D
464246,C
464254,C
464255,B
464257,C
464265,A
464269,A
464270,C
464271,C
464274,C
464276,D
464283,C
464286,C
464287,C
464289,D
464292,C
464297,D
464298,D
464308,C
464318,C
464320,C
464326,C
464332,C
464339,D
464344,C
464351,D
464364,C
464368,C
464370,C
464373,C
464378,C
464381,C
464382,C
464386,C
464387,D
464389,C
464392,C
464396,C
464412,A
464424,D
464425,A
464432,A
464433,D
464436,B
464437,B
464441,B
464451,C
464456,C
464468,C
464473,C
464474,C
464478,C
464481,C
464482,C
464483,C
464485,A
464487,A
464488,D
464494,C
464499,C
464501,D
464504,D
464506,D
464517,D
464522,A
464526,C
464528,B
464533,C
464536,C
464540,A
464544,C
464549,C
464550,C
464552,B
464553,C
464555,D
464560,A
464561,A
464566,C
464569,D
464570,C
464572,D
464576,D
464577,C
464580,D
464581,D
464586,A
464593,D
464594,B
464597,D
464601,D
464603,A
464606,C
464607,C
464608,C
464618,C
464620,C
464621,C
464637,D
464641,C
464652,A
464654,A
464664,A
464666,A
464670,A
464673,B
464674,B
464675,A
464677,D
464683,A
464684,A
464685,B
464688,D
464690,A
464691,D
464692,D
464693,A
464695,A
464696,A
464697,B
464699,D
464701,D
464704,D
464707,B
464711,C
464712,D
464722,A
464726,B
464728,A
464732,A
464737,A
464739,A
464746,B
464752,D
464755,C
464756,A
464758,A
464760,A
464765,A
464766,A
464769,A
464772,A
464774,A
464780,D
464790,A
464792,D
464794,A
464799,D
464802,A
464804,A
464806,B
464809,A
464812,B
464813,B
464817,A
464818,A
464825,D
464827,A
464828,D
464831,D
464832,A
464835,D
464836,A
464845,A
464849,B
464851,D
464852,B
464854,B
464857,D
464861,D
464864,D
464865,D
464868,A
464872,A
464873,B
464876,A
464879,A
464884,A
464885,A
464886,A
464902,A
464905,B
464907,A
464910,B
464911,B
464915,B
464916,A
464919,A
464920,A
464921,A
464925,B
464927,B
464932,B
464938,A
464939,A
464940,A
464944,A
464947,D
464957,A
464960,D
464961,D
464963,A
464972,B
464973,A
464981,C
464987,C
464990,C
464991,C
464995,B
465001,C
465005,C
465012,C
465014,A
465022,C
465023,C
465026,D
465032,C
465035,C
465038,C
465039,C
465040,C
465045,A
465056,C
465069,C
465075,C
465076,C
465079,C
465082,A
465087,D
465091,C
465092,C
465093,C
465095,C
465099,A
465100,C
465101,C
465105,C
465109,A
465111,C
465112,C
465113,B
465119,C
465120,D
465121,A
465122,C
465124,C
465128,C
465134,C
465136,C
465144,A
465147,D
465148,D
465150,A
465153,C
465155,C
465160,C
465164,D
465171,C
465172,C
465175,D
465176,C
465181,D
465182,A
465186,C
465187,A
465188,C
465189,C
465194,D
465196,A
465197,C
465201,A
465202,A
465203,D
465204,D
465213,C
465214,A
465216,C
465226,A
465228,C
465231,C
465236,C
465237,C
465242,D
465249,D
465254,D
465261,D
465264,C
465267,A
465274,A
465285,A
465288,A
465289,C
465290,C
465294,A
465295,C
465296,C
465303,C
465306,B
465310,D
465319,D
465326,C
465333,A
465335,A
465340,D
465342,C
465344,C
465345,C
465351,C
465352,C
465354,D
465357,C
465358,C
465359,C
465364,D
465366,C
465371,C
465372,A
465383,A
465384,C
465391,C
465393,C
465395,A
465399,A
465405,B
465408,B
465410,D
465417,A
465419,D
465423,A
465428,A
465433,D
465435,C
465437,C
465440,A
465441,A
465445,D
465458,C
465461,A
465463,D
465464,B
465467,D
465471,C
465472,B
465473,C
465477,D
465479,D
465482,D
465483,C
465484,C
465488,D
465489,A
465492,B
465496,B
465505,C
465507,C
465508,D
465510,C
465518,B
465520,D
465521,C
465522,D
465529,D
465538,C
465539,C
465541,C
465543,D
465547,C
465550,D
465551,C
465554,A
465555,B
465558,D
465568,C
465569,C
465571,B
465577,D
465584,A
465586,C
465587,A
465594,B
465598,D
465600,A
465601,C
465602,A
465603,A
465605,A
465611,A
465612,C
465616,A
465621,A
465625,A
465627,D
465629,C
465635,D
465638,A
465640,C
465644,D
465645,C
465649,D
465651,A
465653,C
465655,C
465656,A
465658,C
465663,C
465667,D
465668,D
465669,A
465670,A
465675,A
465680,D
465685,D
465688,C
465689,D
465695,D
465697,C
465703,A
465704,C
465705,C
465706,C
465721,B
465722,D
465725,D
465727,D
465728,A
465733,A
465734,C
465736,A
465737,A
465740,A
465742,C
465751,C
465753,C
465766,A
465768,D
465769,D
465772,A
465775,A
465776,A
465777,C
465784,D
465788,D
465793,D
465797,C
465804,A
465809,D
465811,D
465813,D
465818,A
465823,A
465826,B
465828,A
465829,A
465830,B
465831,B
465837,C
465841,A
465848,D
465849,D
465851,B
465853,C
465857,A
465860,C
465863,D
465865,D
465866,C
465867,C
465873,A
465875,A
465884,C
465893,B
465894,D
465907,D
465916,C
465923,A
465925,D
465927,D
465930,C
465931,A
465935,A
465937,D
465941,D
465948,C
465953,C
465957,D
465960,D
465961,C
465963,C
465965,D
465972,D
465974,B
465975,C
465976,D
465979,C
465982,C
465983,D
465996,D
465997,D
466001,A
466007,A
466017,A
466019,A
466020,A
466022,A
466023,C
466024,A
466032,A
466042,A
466043,C
466046,A
466058,A
466069,C
466071,A
466078,C
466079,A
466082,C
466083,D
466084,A
466085,D
466088,D
466090,A
466092,C
466099,C
466103,A
466109,C
466111,C
466114,C
466115,C
466118,A
466124,C
466128,C
466130,D
466132,D
466136,C
466138,C
466140,A
466141,A
466142,C
466143,B
466146,A
466148,A
466149,D
466153,A
466154,C
466156,C
466157,A
466161,C
466162,A
466166,B
466172,C
466178,C
466180,A
466185,C
466200,A
466201,A
466206,C
466207,C
466208,C
466210,C
466211,C
466213,D
466218,D
466223,A
466225,D
466226,C
466233,A
466235,B
466236,A
466238,D
466246,D
466247,C
466253,D
466257,D
466264,A
466268,B
466271,D
466274,C
466276,D
466278,D
466282,D
466285,D
466286,C
466287,C
466289,D
466290,D
466292,C
466297,D
466300,C
466301,C
466306,D
466313,A
466315,A
466317,A
466318,D
466319,D
466320,A
466321,A
466324,A
466326,D
466335,D
466337,A
466341,D
466347,B
466352,C
466355,D
466367,D
466370,C
466372,C
466373,C
466376,A
466377,C
466380,A
466381,C
466382,B
466387,A
466389,B
466391,B
466392,A
466393,A
466395,B
466397,D
466400,B
466401,C
466402,C
466404,A
466406,A
466408,A
466411,C
466414,C
466418,A
466419,A
466422,D
466427,D
466429,D
466443,C
466450,D
466455,C
466456,D
466457,C
466463,D
466464,A
466466,D
466467,C
466468,D
466474,A
466478,C
466483,D
466486,A
466488,C
466490,C
466493,C
466500,B
466501,A
466502,D
466516,D
466517,A
466526,D
466527,D
466530,D
466533,A
466535,D
466536,D
466538,C
466541,A
466543,D
466545,D
466550,D
466552,A
466553,D
466556,D
466562,D
466564,D
466565,C
466576,D
466586,D
466588,D
466596,C
466603,B
466606,A
466613,D
466623,A
466628,D
466631,C
466634,D
466635,C
466644,D
466650,D
466652,C
466655,C
466656,D
466658,D
466662,A
466665,C
466666,D
466671,D
466686,D
466687,D
466688,D
466689,D
466696,C
466704,C
466705,A
466707,A
466713,C
466718,C
466720,B
466721,C
466725,C
466731,A
466732,B
466733,D
466735,D
466746,C
466749,D
466750,D
466751,D
466752,D
466753,C
466754,C
466759,D
466760,C
466765,C
466769,A
466775,C
466776,C
466777,A
466778,A
466788,D
466790,A
466791,A
466792,A
466795,C
466799,D
466802,A
