ID,Segmentation
458989,D
458994,A
458996,A
459000,C
459001,B
459003,C
459005,A
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,C
459036,A
459039,C
459041,B
459045,C
459056,B
459057,A
459058,A
459059,A
459061,D
459064,D
459065,A
459074,A
459077,D
459079,A
459080,D
459083,C
459090,A
459091,A
459093,C
459100,B
459106,B
459114,C
459116,C
459117,C
459118,D
459119,B
459120,D
459121,C
459123,C
459130,D
459132,D
459136,C
459140,D
459143,B
459144,A
459145,A
459150,A
459160,B
459161,B
459162,C
459163,A
459167,B
459170,A
459171,C
459172,D
459175,C
459181,A
459182,C
459184,A
459185,A
459193,B
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,A
459216,C
459220,B
459221,A
459222,C
459223,C
459224,A
459227,A
459229,C
459236,B
459237,C
459244,A
459247,C
459258,B
459263,D
459264,C
459266,D
459270,B
459284,B
459287,D
459288,C
459289,A
459290,B
459292,A
459293,D
459296,C
459300,A
459307,A
459310,A
459316,A
459318,A
459320,D
459322,A
459323,A
459338,A
459339,B
459344,C
459347,A
459349,C
459352,C
459353,C
459354,C
459355,A
459360,D
459361,A
459362,A
459363,A
459364,B
459369,A
459375,D
459377,C
459383,D
459384,C
459385,C
459386,A
459391,D
459394,A
459397,C
459398,C
459401,D
459403,C
459405,A
459407,B
459409,C
459410,B
459412,C
459413,C
459415,B
459418,B
459419,B
459420,B
459421,D
459422,A
459423,D
459424,A
459428,D
459432,A
459436,B
459439,C
459445,C
459447,B
459449,B
459451,C
459456,D
459458,D
459459,A
459461,A
459464,A
459466,C
459467,A
459469,A
459471,D
459480,A
459481,A
459482,D
459485,B
459496,A
459497,D
459499,D
459503,A
459505,A
459507,B
459509,D
459512,A
459515,A
459516,C
459518,C
459535,C
459536,D
459538,D
459541,C
459549,D
459555,B
459558,D
459564,D
459566,B
459567,C
459571,C
459576,A
459579,C
459581,C
459582,B
459583,B
459585,C
459587,C
459588,B
459591,C
459592,D
459594,C
459597,C
459603,D
459607,B
459608,A
459612,D
459616,D
459617,B
459618,C
459621,D
459625,A
459626,D
459632,D
459644,A
459652,A
459658,C
459664,A
459665,B
459672,C
459673,B
459678,D
459680,A
459686,A
459691,A
459692,C
459693,B
459699,C
459701,D
459710,A
459711,B
459712,D
459713,D
459715,D
459718,D
459725,C
459727,A
459740,D
459742,D
459745,A
459746,C
459747,C
459748,C
459755,B
459756,D
459760,A
459763,D
459767,D
459771,C
459779,A
459780,A
459785,A
459793,C
459795,A
459801,A
459804,B
459806,B
459808,A
459815,A
459816,A
459819,B
459821,A
459822,A
459825,D
459827,C
459832,D
459845,B
459851,A
459853,A
459856,A
459857,A
459861,D
459864,A
459866,B
459867,B
459869,D
459871,A
459885,A
459886,A
459887,A
459889,A
459897,C
459909,B
459910,B
459911,D
459914,A
459923,D
459925,D
459937,A
459943,B
459945,C
459946,A
459949,D
459953,B
459961,A
459962,B
459966,B
459968,A
459970,A
459973,C
459974,A
459975,A
459981,A
459986,A
459995,A
459996,A
459998,B
460004,C
460006,D
460014,A
460023,A
460027,A
460033,A
460036,A
460040,B
460045,A
460046,C
460050,A
460051,A
460052,A
460058,A
460059,D
460061,D
460066,D
460068,A
460073,A
460075,A
460079,A
460081,A
460088,A
460090,A
460093,A
460095,B
460097,B
460099,A
460101,A
460103,D
460105,B
460106,A
460107,C
460108,C
460109,C
460110,C
460112,C
460116,C
460118,C
460119,C
460122,A
460124,B
460126,A
460134,D
460135,D
460140,C
460141,B
460144,A
460146,B
460147,C
460157,B
460160,A
460162,D
460166,D
460167,B
460168,C
460171,C
460174,A
460175,A
460177,B
460179,B
460183,D
460185,D
460187,B
460189,D
460190,D
460192,B
460196,D
460206,A
460211,A
460212,D
460214,A
460222,A
460223,A
460227,D
460242,A
460243,A
460247,D
460248,D
460252,C
460263,A
460265,C
460270,B
460272,A
460275,C
460276,C
460281,D
460283,A
460284,A
460287,A
460289,C
460298,A
460303,B
460305,D
460306,D
460310,D
460315,B
460319,A
460322,A
460323,A
460324,A
460327,C
460333,A
460336,D
460340,A
460341,D
460344,C
460346,C
460348,C
460349,C
460354,A
460356,D
460358,D
460361,A
460362,D
460365,B
460369,C
460370,C
460371,A
460378,B
460379,A
460380,D
460381,A
460384,A
460387,A
460388,A
460389,D
460390,A
460392,A
460394,D
460397,A
460399,A
460401,A
460404,A
460405,A
460406,A
460408,B
460409,A
460415,A
460422,D
460431,A
460434,A
460437,B
460440,A
460443,A
460447,A
460449,D
460450,B
460453,A
460454,A
460457,A
460459,D
460460,A
460467,C
460470,A
460476,B
460477,D
460484,D
460485,B
460489,D
460492,D
460495,D
460504,A
460505,A
460507,D
460508,D
460518,A
460522,C
460541,B
460542,D
460545,B
460546,A
460547,B
460549,A
460550,B
460551,A
460555,C
460556,B
460558,A
460561,A
460563,C
460566,C
460571,B
460572,B
460574,B
460582,A
460583,D
460585,D
460586,D
460588,D
460597,D
460598,A
460605,A
460606,D
460612,C
460615,A
460618,C
460619,A
460621,C
460622,B
460626,A
460627,A
460633,A
460634,B
460637,D
460638,B
460639,D
460640,A
460645,D
460646,C
460653,D
460656,A
460658,A
460659,A
460660,A
460661,D
460668,A
460678,A
460686,A
460687,C
460691,D
460702,A
460703,D
460706,D
460708,B
460716,C
460719,A
460720,A
460722,A
460726,C
460727,B
460729,A
460733,D
460734,D
460738,A
460740,C
460743,A
460746,A
460763,A
460769,D
460780,D
460783,A
460785,D
460789,A
460794,D
460796,C
460802,A
460811,A
460813,B
460815,C
460822,A
460825,A
460828,A
460830,A
460831,D
460837,A
460838,A
460840,A
460844,A
460846,D
460847,A
460851,C
460855,B
460857,A
460859,A
460860,C
460861,D
460866,A
460870,B
460871,A
460872,A
460877,A
460878,C
460882,D
460888,A
460891,C
460897,D
460898,A
460899,B
460901,A
460902,A
460905,B
460906,A
460907,A
460923,C
460924,B
460928,C
460934,D
460935,A
460945,D
460953,A
460961,D
460962,C
460963,C
460968,A
460975,B
460976,D
460977,B
460979,D
460981,A
460984,C
460988,B
460989,D
460991,D
460993,C
460999,D
461000,A
461001,A
461015,A
461016,D
461022,A
461023,B
461024,A
461028,D
461029,A
461034,D
461037,D
461038,B
461041,D
461042,D
461043,D
461044,D
461049,B
461050,A
461053,B
461059,C
461060,C
461065,B
461071,A
461078,D
461082,D
461085,A
461093,C
461099,A
461111,A
461114,C
461116,B
461118,A
461119,D
461121,D
461124,D
461127,D
461128,D
461129,A
461131,B
461145,B
461152,D
461154,D
461158,A
461162,D
461163,A
461168,A
461169,C
461174,D
461177,A
461178,A
461179,D
461181,D
461183,D
461187,D
461197,D
461198,D
461201,B
461205,D
461211,A
461214,D
461215,C
461218,A
461220,D
461221,D
461225,D
461226,A
461230,D
461232,A
461233,C
461236,D
461237,A
461241,D
461242,D
461243,D
461248,D
461251,D
461252,A
461256,A
461257,C
461258,C
461262,A
461263,A
461265,D
461269,A
461274,B
461276,D
461277,A
461281,D
461286,D
461289,D
461292,B
461297,B
461299,C
461303,A
461308,D
461309,D
461313,C
461314,C
461319,C
461320,A
461322,C
461323,D
461324,B
461326,D
461335,C
461340,C
461346,B
461348,D
461350,D
461352,D
461356,A
461357,C
461363,B
461366,D
461370,D
461377,C
461378,B
461379,D
461383,C
461388,D
461397,D
461402,C
461408,D
461421,C
461423,B
461426,C
461428,B
461432,C
461437,C
461439,C
461441,C
461442,C
461454,B
461456,D
461457,A
461458,A
461462,D
461465,C
461466,A
461468,C
461469,C
461476,C
461479,C
461480,C
461482,A
461494,B
461501,A
461503,B
461510,C
461514,D
461516,B
461518,C
461521,C
461522,B
461525,A
461526,A
461530,B
461534,B
461540,B
461546,A
461548,D
461553,A
461556,C
461558,C
461564,C
461570,C
461574,C
461587,D
461593,C
461602,A
461604,B
461612,C
461615,A
461617,A
461619,B
461624,C
461626,C
461630,C
461637,B
461644,D
461653,C
461655,C
461658,C
461659,A
461661,C
461663,D
461668,C
461671,D
461674,C
461676,A
461679,B
461681,D
461683,C
461685,D
461686,B
461690,A
461694,D
461695,C
461698,C
461701,C
461705,C
461708,B
461709,A
461711,A
461716,C
461720,B
461722,B
461724,A
461725,A
461727,A
461737,B
