ID,Segmentation
458989,D
458994,C
458996,A
459000,C
459001,D
459003,C
459005,A
459008,C
459013,A
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,C
459036,A
459039,C
459041,B
459045,B
459056,C
459057,A
459058,A
459059,A
459061,A
459064,D
459065,D
459074,C
459077,A
459079,B
459080,D
459083,C
459090,A
459091,B
459093,C
459100,B
459106,B
459114,C
459116,C
459117,C
459118,D
459119,C
459120,D
459121,C
459123,C
459130,A
459132,D
459136,C
459140,D
459143,B
459144,B
459145,A
459150,A
459160,B
459161,C
459162,C
459163,A
459167,D
459170,A
459171,C
459172,D
459175,C
459181,C
459182,C
459184,A
459185,A
459193,B
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,A
459216,C
459220,C
459221,B
459222,C
459223,C
459224,C
459227,D
459229,B
459236,B
459237,C
459244,B
459247,C
459258,C
459263,D
459264,C
459266,D
459270,A
459284,C
459287,D
459288,C
459289,D
459290,B
459292,A
459293,D
459296,C
459300,C
459307,A
459310,A
459316,A
459318,A
459320,D
459322,A
459323,D
459338,D
459339,A
459344,C
459347,A
459349,C
459352,B
459353,C
459354,C
459355,A
459360,D
459361,D
459362,A
459363,B
459364,D
459369,A
459375,D
459377,C
459383,A
459384,C
459385,C
459386,A
459391,D
459394,A
459397,C
459398,C
459401,D
459403,C
459405,A
459407,B
459409,C
459410,C
459412,C
459413,A
459415,B
459418,B
459419,B
459420,D
459421,C
459422,A
459423,D
459424,A
459428,D
459432,A
459436,B
459439,C
459445,C
459447,B
459449,B
459451,C
459456,D
459458,D
459459,B
459461,A
459464,B
459466,C
459467,C
459469,A
459471,D
459480,A
459481,D
459482,D
459485,C
459496,A
459497,B
459499,A
459503,C
459505,A
459507,D
459509,D
459512,B
459515,D
459516,C
459518,C
459535,C
459536,D
459538,D
459541,C
459549,D
459555,B
459558,D
459564,D
459566,B
459567,C
459571,C
459576,A
459579,B
459581,A
459582,C
459583,B
459585,C
459587,A
459588,B
459591,C
459592,D
459594,C
459597,C
459603,A
459607,B
459608,A
459612,D
459616,D
459617,C
459618,C
459621,D
459625,B
459626,A
459632,D
459644,A
459652,A
459658,C
459664,B
459665,B
459672,C
459673,A
459678,D
459680,A
459686,B
459691,A
459692,C
459693,B
459699,B
459701,B
459710,A
459711,D
459712,D
459713,D
459715,D
459718,D
459725,C
459727,A
459740,D
459742,A
459745,A
459746,C
459747,C
459748,C
459755,B
459756,D
459760,D
459763,D
459767,D
459771,A
459779,A
459780,A
459785,B
459793,C
459795,B
459801,D
459804,C
459806,A
459808,B
459815,A
459816,C
459819,B
459821,C
459822,A
459825,D
459827,A
459832,D
459845,D
459851,B
459853,D
459856,C
459857,A
459861,A
459864,B
459866,C
459867,B
459869,D
459871,A
459885,D
459886,A
459887,A
459889,A
459897,C
459909,B
459910,B
459911,D
459914,A
459923,D
459925,D
459937,B
459943,B
459945,C
459946,C
459949,A
459953,B
459961,A
459962,B
459966,B
459968,A
459970,A
459973,C
459974,A
459975,A
459981,B
459986,A
459995,B
459996,A
459998,B
460004,B
460006,D
460014,D
460023,A
460027,A
460033,A
460036,A
460040,B
460045,B
460046,B
460050,A
460051,A
460052,B
460058,A
460059,D
460061,D
460066,D
460068,B
460073,B
460075,B
460079,A
460081,B
460088,A
460090,A
460093,B
460095,A
460097,B
460099,B
460101,D
460103,D
460105,B
460106,A
460107,C
460108,C
460109,C
460110,C
460112,C
460116,C
460118,B
460119,D
460122,B
460124,B
460126,D
460134,D
460135,D
460140,C
460141,B
460144,A
460146,B
460147,C
460157,D
460160,D
460162,D
460166,D
460167,B
460168,C
460171,C
460174,A
460175,C
460177,B
460179,B
460183,D
460185,D
460187,D
460189,D
460190,D
460192,B
460196,D
460206,B
460211,A
460212,D
460214,B
460222,B
460223,A
460227,D
460242,C
460243,A
460247,D
460248,D
460252,C
460263,C
460265,B
460270,C
460272,A
460275,C
460276,C
460281,D
460283,A
460284,A
460287,B
460289,C
460298,A
460303,B
460305,D
460306,D
460310,D
460315,D
460319,D
460322,A
460323,A
460324,A
460327,B
460333,A
460336,D
460340,A
460341,D
460344,C
460346,C
460348,C
460349,C
460354,B
460356,D
460358,D
460361,B
460362,D
460365,A
460369,C
460370,C
460371,C
460378,B
460379,A
460380,B
460381,A
460384,D
460387,D
460388,A
460389,D
460390,A
460392,A
460394,D
460397,A
460399,D
460401,A
460404,A
460405,D
460406,A
460408,B
460409,C
460415,A
460422,D
460431,A
460434,A
460437,B
460440,D
460443,A
460447,A
460449,D
460450,B
460453,A
460454,B
460457,A
460459,D
460460,B
460467,C
460470,B
460476,B
460477,D
460484,D
460485,B
460489,D
460492,D
460495,D
460504,A
460505,D
460507,D
460508,D
460518,C
460522,D
460541,D
460542,B
460545,B
460546,C
460547,C
460549,B
460550,C
460551,C
460555,C
460556,C
460558,C
460561,C
460563,C
460566,C
460571,C
460572,B
460574,B
460582,A
460583,D
460585,D
460586,D
460588,D
460597,D
460598,A
460605,A
460606,D
460612,D
460615,C
460618,C
460619,C
460621,C
460622,C
460626,D
460627,D
460633,A
460634,D
460637,D
460638,C
460639,D
460640,A
460645,C
460646,C
460653,D
460656,B
460658,A
460659,A
460660,A
460661,D
460668,B
460678,A
460686,D
460687,C
460691,D
460702,A
460703,D
460706,D
460708,B
460716,B
460719,C
460720,C
460722,A
460726,C
460727,B
460729,A
460733,D
460734,D
460738,A
460740,C
460743,B
460746,C
460763,A
460769,A
460780,D
460783,A
460785,B
460789,B
460794,D
460796,C
460802,B
460811,A
460813,B
460815,C
460822,C
460825,D
460828,A
460830,B
460831,D
460837,B
460838,B
460840,A
460844,A
460846,D
460847,A
460851,B
460855,B
460857,D
460859,A
460860,C
460861,D
460866,D
460870,D
460871,C
460872,A
460877,B
460878,C
460882,D
460888,A
460891,C
460897,D
460898,C
460899,B
460901,D
460902,A
460905,B
460906,A
460907,A
460923,C
460924,D
460928,C
460934,D
460935,D
460945,D
460953,A
460961,D
460962,C
460963,C
460968,A
460975,C
460976,D
460977,B
460979,D
460981,A
460984,B
460988,B
460989,D
460991,D
460993,C
460999,D
461000,A
461001,A
461015,A
461016,D
461022,A
461023,B
461024,A
461028,A
461029,A
461034,D
461037,D
461038,A
461041,D
461042,D
461043,D
461044,D
461049,B
461050,A
461053,D
461059,C
461060,C
461065,B
461071,B
461078,A
461082,D
461085,A
461093,C
461099,A
461111,A
461114,C
461116,D
461118,A
461119,D
461121,D
461124,D
461127,D
461128,D
461129,B
461131,B
461145,A
461152,D
461154,A
461158,A
461162,B
461163,B
461168,A
461169,D
461174,B
461177,B
461178,A
461179,D
461181,D
461183,D
461187,D
461197,D
461198,D
461201,C
461205,D
461211,A
461214,D
461215,B
461218,D
461220,D
461221,D
461225,D
461226,C
461230,D
461232,A
461233,C
461236,D
461237,D
461241,D
461242,C
461243,D
461248,D
461251,D
461252,B
461256,D
461257,C
461258,C
461262,C
461263,B
461265,D
461269,A
461274,C
461276,D
461277,C
461281,D
461286,D
461289,D
461292,D
461297,B
461299,C
461303,C
461308,D
461309,D
461313,C
461314,C
461319,C
461320,A
461322,C
461323,C
461324,C
461326,A
461335,C
461340,C
461346,B
461348,D
461350,D
461352,D
461356,A
461357,D
461363,B
461366,D
461370,D
461377,B
461378,B
461379,D
461383,C
461388,D
461397,D
461402,C
461408,D
461421,C
461423,C
461426,C
461428,B
461432,C
461437,C
461439,C
461441,C
461442,C
461454,B
461456,D
461457,A
461458,A
461462,D
461465,C
461466,A
461468,C
461469,C
461476,C
461479,C
461480,C
461482,B
461494,D
461501,B
461503,B
461510,C
461514,D
461516,B
461518,C
461521,C
461522,D
461525,A
461526,D
461530,B
461534,B
461540,B
461546,A
461548,D
461553,A
461556,C
461558,C
461564,C
461570,C
461574,C
461587,D
461593,C
461602,A
461604,C
461612,C
461615,B
461617,A
461619,C
461624,C
461626,C
461630,C
461637,B
461644,D
461653,C
461655,A
461658,C
461659,C
461661,C
461663,D
461668,C
461671,D
461674,B
461676,A
461679,C
461681,D
461683,C
461685,D
461686,B
461690,A
461694,D
461695,C
461698,C
461701,C
461705,C
461708,B
461709,D
461711,A
461716,C
461720,B
461722,B
461724,A
461725,A
461727,A
461737,B
461738,C
461744,C
461747,C
461749,D
461752,C
461756,C
461760,C
461769,B
461771,A
461775,B
461778,C
461780,A
461782,C
461784,A
461788,C
461791,D
461792,D
461800,B
461801,D
461802,A
461804,A
461807,D
461815,B
461816,A
461821,D
461822,C
461824,D
461832,D
461837,C
461845,C
461846,B
461848,D
461858,D
461859,C
461860,C
461862,B
461864,D
461872,C
461873,C
461874,A
461882,C
461892,D
461896,B
461898,C
461899,D
461901,D
461910,B
461913,A
461914,C
461921,A
461927,B
461928,A
461929,A
461930,B
461931,D
461936,B
461937,B
461941,B
461943,D
461962,B
461963,B
461965,D
461967,C
461968,B
461978,D
461985,D
461988,B
461989,C
461993,B
461994,D
461996,D
461999,D
462007,C
462011,D
462013,C
462015,A
462016,C
462017,A
462027,A
462029,A
462033,A
462038,C
462043,C
462044,C
462048,D
462051,D
462052,C
462053,B
462058,D
462060,C
462064,B
462068,B
462075,A
462078,B
462080,B
462081,D
462083,D
462084,A
462085,D
462088,C
462090,B
462091,D
462094,D
462096,A
462102,A
462103,A
462108,C
462109,D
462111,C
462114,D
462116,C
462118,B
462120,A
462128,C
462131,A
462134,D
462141,B
462149,D
462151,B
462163,C
462168,B
462171,D
462172,C
462174,D
462177,B
462179,D
462180,B
462186,D
462187,C
462188,B
462196,B
462197,A
462198,D
462200,B
462202,A
462203,A
462204,D
462205,D
462209,D
462210,A
462211,D
462214,D
462216,A
462218,B
462220,D
462222,D
462229,D
462231,B
462232,A
