ID,Segmentation
458989,A
458994,D
458996,B
459000,C
459001,D
459003,B
459005,A
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,B
459036,A
459039,C
459041,B
459045,C
459056,B
459057,A
459058,A
459059,B
459061,D
459064,D
459065,A
459074,D
459077,B
459079,C
459080,D
459083,C
459090,A
459091,C
459093,C
459100,B
459106,B
459114,C
459116,C
459117,C
459118,D
459119,C
459120,D
459121,C
459123,B
459130,B
459132,D
459136,C
459140,D
459143,B
459144,C
459145,A
459150,A
459160,C
459161,C
459162,C
459163,A
459167,D
459170,A
459171,C
459172,D
459175,C
459181,B
459182,C
459184,A
459185,A
459193,A
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,D
459216,A
459220,C
459221,A
459222,C
459223,C
459224,C
459227,A
459229,C
459236,B
459237,A
459244,B
459247,B
459258,C
459263,D
459264,A
459266,D
459270,B
459284,C
459287,D
459288,B
459289,A
459290,B
459292,A
459293,D
459296,C
459300,B
459307,A
459310,A
459316,D
459318,A
459320,D
459322,D
459323,D
459338,D
459339,D
459344,C
459347,A
459349,C
459352,C
459353,C
459354,C
459355,A
459360,D
459361,A
459362,A
459363,A
459364,D
459369,B
459375,D
459377,C
459383,A
459384,C
459385,C
459386,A
459391,D
459394,D
459397,C
459398,C
459401,D
459403,C
459405,B
459407,A
459409,C
459410,C
459412,C
459413,C
459415,D
459418,B
459419,C
459420,A
459421,D
459422,A
459423,D
459424,A
459428,D
459432,A
459436,B
459439,C
459445,C
459447,B
459449,B
459451,B
459456,D
459458,D
459459,B
459461,B
459464,A
459466,C
459467,C
459469,D
459471,D
459480,A
459481,D
459482,D
459485,C
459496,A
459497,A
459499,B
459503,D
459505,A
459507,A
459509,D
459512,C
459515,A
459516,C
459518,C
459535,C
459536,D
459538,D
459541,C
459549,D
459555,A
459558,D
459564,A
459566,B
459567,C
459571,C
459576,A
459579,B
459581,A
459582,B
459583,B
459585,C
459587,A
459588,B
459591,C
459592,D
459594,B
459597,C
459603,B
459607,B
459608,B
459612,D
459616,D
459617,D
459618,C
459621,D
459625,A
459626,A
459632,D
459644,D
459652,A
459658,C
459664,A
459665,B
459672,C
459673,A
459678,D
459680,A
459686,B
459691,C
459692,C
459693,C
459699,B
459701,D
459710,B
459711,B
459712,D
459713,D
459715,D
459718,D
459725,B
459727,A
459740,D
459742,B
459745,A
459746,C
459747,C
459748,B
459755,C
459756,B
459760,B
459763,D
459767,D
459771,A
459779,A
459780,A
459785,A
459793,C
459795,A
459801,A
459804,B
459806,B
459808,B
459815,A
459816,A
459819,B
459821,B
459822,A
459825,D
459827,A
459832,D
459845,D
459851,A
459853,D
459856,B
459857,A
459861,B
459864,B
459866,A
459867,B
459869,D
459871,B
459885,A
459886,A
459887,C
459889,A
459897,B
459909,B
459910,B
459911,D
459914,A
459923,D
459925,A
459937,A
459943,A
459945,B
459946,C
459949,A
459953,B
459961,A
459962,B
459966,A
459968,A
459970,A
459973,A
459974,A
459975,A
459981,A
459986,B
459995,A
459996,A
459998,B
460004,C
460006,D
460014,A
460023,A
460027,A
460033,A
460036,B
460040,B
460045,B
460046,B
460050,A
460051,A
460052,A
460058,B
460059,A
460061,D
460066,D
460068,A
460073,A
460075,A
460079,A
460081,C
460088,A
460090,A
460093,B
460095,A
460097,B
460099,A
460101,D
460103,A
460105,A
460106,A
460107,B
460108,C
460109,C
460110,A
460112,A
460116,B
460118,B
460119,D
460122,A
460124,A
460126,D
460134,B
460135,D
460140,B
460141,A
460144,A
460146,B
460147,C
460157,A
460160,A
460162,D
460166,D
460167,D
460168,C
460171,C
460174,A
460175,C
460177,A
460179,D
460183,A
460185,D
460187,A
460189,A
460190,D
460192,A
460196,D
460206,A
460211,A
460212,A
460214,B
460222,C
460223,A
460227,D
460242,D
460243,A
460247,D
460248,D
460252,B
460263,B
460265,C
460270,A
460272,A
460275,A
460276,B
460281,D
460283,A
460284,D
460287,B
460289,B
460298,A
460303,A
460305,A
460306,D
460310,D
460315,D
460319,A
460322,A
460323,A
460324,D
460327,A
460333,A
460336,A
460340,A
460341,D
460344,C
460346,C
460348,A
460349,C
460354,B
460356,D
460358,D
460361,B
460362,D
460365,A
460369,B
460370,A
460371,A
460378,A
460379,A
460380,D
460381,A
460384,D
460387,A
460388,A
460389,D
460390,A
460392,A
460394,D
460397,A
460399,D
460401,A
460404,A
460405,A
460406,D
460408,A
460409,A
460415,A
460422,B
460431,A
460434,C
460437,A
460440,D
460443,A
460447,D
460449,D
460450,B
460453,A
460454,A
460457,A
460459,D
460460,D
460467,C
460470,D
460476,A
460477,D
460484,D
460485,D
460489,D
460492,D
460495,D
460504,B
460505,D
460507,D
460508,D
460518,B
460522,A
460541,B
460542,D
460545,D
460546,A
460547,B
460549,A
460550,C
460551,B
460555,C
460556,B
460558,B
460561,A
460563,D
460566,C
460571,D
460572,D
460574,A
460582,A
460583,D
460585,A
460586,D
460588,D
460597,D
460598,C
460605,A
460606,D
460612,D
460615,D
460618,A
460619,A
460621,A
460622,C
460626,D
460627,D
460633,C
460634,D
460637,D
460638,A
460639,A
460640,A
460645,A
460646,A
460653,D
460656,A
460658,D
460659,D
460660,A
460661,D
460668,A
460678,A
460686,A
460687,C
460691,D
460702,A
460703,B
460706,D
460708,B
460716,B
460719,A
460720,C
460722,B
460726,C
460727,B
460729,A
460733,D
460734,A
460738,A
460740,C
460743,C
460746,D
460763,A
460769,B
460780,D
460783,A
460785,D
460789,A
460794,D
460796,D
460802,C
460811,B
460813,B
460815,C
460822,B
460825,D
460828,A
460830,B
460831,D
460837,D
460838,A
460840,A
460844,D
460846,D
460847,A
460851,B
460855,B
460857,D
460859,A
460860,C
460861,D
460866,D
460870,D
460871,D
460872,B
460877,C
460878,B
460882,D
460888,A
460891,C
460897,D
460898,C
460899,A
460901,D
460902,A
460905,A
460906,C
460907,A
460923,C
460924,D
460928,C
460934,D
460935,A
460945,D
460953,A
460961,D
460962,C
460963,A
460968,A
460975,C
460976,D
460977,B
460979,D
460981,D
460984,B
460988,B
460989,D
460991,D
460993,C
460999,D
461000,A
461001,A
461015,B
461016,D
461022,B
461023,D
461024,A
461028,D
461029,A
461034,D
461037,D
461038,B
461041,D
461042,D
461043,D
461044,D
461049,B
461050,C
461053,B
461059,C
461060,C
461065,B
461071,A
461078,D
461082,D
461085,D
461093,C
461099,A
461111,A
461114,C
461116,B
461118,D
461119,D
461121,D
461124,D
461127,D
461128,D
461129,B
461131,C
461145,A
461152,D
461154,D
461158,A
461162,D
461163,A
461168,A
461169,A
461174,D
461177,B
461178,D
461179,D
461181,D
461183,D
